School_ID,School_Name,Subgroup_Name,No_in_Class,No_Graduated,Percent_Graduated
1001176,Higley Virtual Academy,Multiple Races,0,0,0
1001176,Higley Virtual Academy,Native Hawaiian or Pacific Islander,0,0,0
1001176,Higley Virtual Academy,Special Education,0,0,0
1001176,Higley Virtual Academy,White,73,0,0
1000059,Nadaburg Online Virtual Academy,All,0,0,0
1000059,Nadaburg Online Virtual Academy,Female,0,0,0
1000059,Nadaburg Online Virtual Academy,Hispanic or Latino,0,0,0
1000059,Nadaburg Online Virtual Academy,Male,0,0,0
1000059,Nadaburg Online Virtual Academy,Special Education,0,0,0
1000059,Nadaburg Online Virtual Academy,White,0,0,0
85819,Tonopah Valley High School,All,173,160,92.5
85819,Tonopah Valley High School,American Indian or Alaska Native,0,0,0
85819,Tonopah Valley High School,Asian,0,0,0
85819,Tonopah Valley High School,Black/African American,0,0,0
85819,Tonopah Valley High School,English Learners,0,0,0
85819,Tonopah Valley High School,ELFEP14,12,0,0
85819,Tonopah Valley High School,Female,72,0,0
85819,Tonopah Valley High School,Foster Care,0,0,0
85819,Tonopah Valley High School,Hispanic or Latino,85,0,0
85819,Tonopah Valley High School,Homeless,0,0,0
85819,Tonopah Valley High School,Income Eligibility 1 & 2,93,0,0
85819,Tonopah Valley High School,Male,101,0,0
85819,Tonopah Valley High School,Military,0,0,0
85819,Tonopah Valley High School,Multiple Races,0,0,0
85819,Tonopah Valley High School,Native Hawaiian or Pacific Islander,0,0,0
85819,Tonopah Valley High School,Special Education,25,0,0
85819,Tonopah Valley High School,White,68,0,0
5424,Buckeye Union High School,All,435,403,92.6
5424,Buckeye Union High School,American Indian or Alaska Native,0,0,0
5424,Buckeye Union High School,Asian,0,0,0
5424,Buckeye Union High School,Black/African American,27,0,0
5424,Buckeye Union High School,English Learners,27,0,0
5424,Buckeye Union High School,ELFEP14,36,0,0
5424,Buckeye Union High School,Female,214,202,94.4
5424,Buckeye Union High School,Hispanic or Latino,292,273,93.5
5424,Buckeye Union High School,Homeless,0,0,0
5424,Buckeye Union High School,Income Eligibility 1 & 2,252,239,94.8
5424,Buckeye Union High School,Male,221,201,91
5424,Buckeye Union High School,Migrant,0,0,0
5424,Buckeye Union High School,Multiple Races,0,0,0
5424,Buckeye Union High School,Native Hawaiian or Pacific Islander,0,0,0
5424,Buckeye Union High School,Special Education,66,0,0
5424,Buckeye Union High School,White,103,0,0
79376,Estrella Foothills High School,All,312,287,92
79376,Estrella Foothills High School,American Indian or Alaska Native,0,0,0
79376,Estrella Foothills High School,Black/African American,11,0,0
79376,Estrella Foothills High School,English Learners,0,0,0
79376,Estrella Foothills High School,ELFEP14,0,0,0
79376,Estrella Foothills High School,Female,153,0,0
79376,Estrella Foothills High School,Hispanic or Latino,124,112,90.3
79376,Estrella Foothills High School,Homeless,0,0,0
79376,Estrella Foothills High School,Income Eligibility 1 & 2,86,0,0
79376,Estrella Foothills High School,Male,159,0,89.3
79376,Estrella Foothills High School,Migrant,0,0,0
79376,Estrella Foothills High School,Military,0,0,0
79376,Estrella Foothills High School,Multiple Races,16,0,0
79376,Estrella Foothills High School,Special Education,38,0,0
79376,Estrella Foothills High School,White,160,148,92.5
89573,Youngker High School,All,452,411,90.9
89573,Youngker High School,American Indian or Alaska Native,0,0,0
89573,Youngker High School,Asian,0,0,0
89573,Youngker High School,Black/African American,56,0,0
89573,Youngker High School,English Learners,21,0,0
89573,Youngker High School,ELFEP14,30,0,0
89573,Youngker High School,Female,227,214,94.3
89573,Youngker High School,Foster Care,0,0,0
89573,Youngker High School,Hispanic or Latino,284,258,90.8
89573,Youngker High School,Homeless,0,0,0
89573,Youngker High School,Income Eligibility 1 & 2,258,244,94.6
89573,Youngker High School,Male,225,197,87.6
89573,Youngker High School,Military,0,0,0
89573,Youngker High School,Multiple Races,0,0,0
89573,Youngker High School,Native Hawaiian or Pacific Islander,0,0,0
89573,Youngker High School,Special Education,43,0,0
89573,Youngker High School,White,96,0,0
91826,BUHSD Institute of Online Learning,All,94,60,63.8
91826,BUHSD Institute of Online Learning,Black/African American,0,0,0
91826,BUHSD Institute of Online Learning,English Learners,0,0,0
91826,BUHSD Institute of Online Learning,ELFEP14,0,0,0
91826,BUHSD Institute of Online Learning,Female,53,39,73.6
91826,BUHSD Institute of Online Learning,Hispanic or Latino,54,34,63
91826,BUHSD Institute of Online Learning,Income Eligibility 1 & 2,41,26,63.4
91826,BUHSD Institute of Online Learning,Male,41,21,51.2
91826,BUHSD Institute of Online Learning,Multiple Races,0,0,0
91826,BUHSD Institute of Online Learning,Special Education,0,0,0
91826,BUHSD Institute of Online Learning,White,34,23,67.6
5426,Glendale High School,All,358,304,84.9
5426,Glendale High School,American Indian or Alaska Native,0,0,0
5426,Glendale High School,Asian,12,0,0
5426,Glendale High School,Black/African American,35,0,0
5426,Glendale High School,English Learners,31,0,0
5426,Glendale High School,ELFEP14,39,0,0
5426,Glendale High School,Female,174,154,88.5
5426,Glendale High School,Hispanic or Latino,269,239,88.8
5426,Glendale High School,Homeless,14,0,0
5426,Glendale High School,Income Eligibility 1 & 2,249,216,86.7
5426,Glendale High School,Male,184,150,81.5
5426,Glendale High School,Multiple Races,0,0,0
5426,Glendale High School,Special Education,49,29,59.2
5426,Glendale High School,White,29,18,62.1
5427,Sunnyslope High School,All,485,448,92.4
5427,Sunnyslope High School,American Indian or Alaska Native,0,0,0
5427,Sunnyslope High School,Asian,0,0,0
5427,Sunnyslope High School,Black/African American,17,0,0
5427,Sunnyslope High School,English Learners,14,0,0
5427,Sunnyslope High School,ELFEP14,24,0,0
5427,Sunnyslope High School,Female,242,229,94.6
5427,Sunnyslope High School,Foster Care,0,0,0
5427,Sunnyslope High School,Hispanic or Latino,246,222,90.2
5427,Sunnyslope High School,Homeless,0,0,0
5427,Sunnyslope High School,Income Eligibility 1 & 2,152,138,90.8
5427,Sunnyslope High School,Male,243,219,90.1
5427,Sunnyslope High School,Multiple Races,13,0,0
5427,Sunnyslope High School,Native Hawaiian or Pacific Islander,0,0,0
5427,Sunnyslope High School,Special Education,43,0,0
5427,Sunnyslope High School,White,193,0,0
5428,Washington High School,All,379,342,90.2
5428,Washington High School,American Indian or Alaska Native,11,0,0
5428,Washington High School,Asian,28,0,0
5428,Washington High School,Black/African American,46,0,0
5428,Washington High School,English Learners,27,0,0
5428,Washington High School,ELFEP14,33,0,0
5428,Washington High School,Female,193,179,92.7
5428,Washington High School,Foster Care,0,0,0
5428,Washington High School,Hispanic or Latino,238,218,91.6
5428,Washington High School,Homeless,0,0,0
5428,Washington High School,Income Eligibility 1 & 2,193,175,90.7
5428,Washington High School,Male,186,163,87.6
5428,Washington High School,Multiple Races,0,0,0
5428,Washington High School,Native Hawaiian or Pacific Islander,0,0,0
5428,Washington High School,Special Education,37,24,64.9
5428,Washington High School,White,47,0,0
5429,Cortez High School,All,204,173,84.8
5429,Cortez High School,American Indian or Alaska Native,0,0,0
5429,Cortez High School,Asian,11,0,0
5429,Cortez High School,Black/African American,27,0,0
5429,Cortez High School,English Learners,15,0,0
5429,Cortez High School,ELFEP14,23,0,0
5429,Cortez High School,Female,102,89,87.3
5429,Cortez High School,Hispanic or Latino,129,118,91.5
5429,Cortez High School,Homeless,0,0,0
5429,Cortez High School,Income Eligibility 1 & 2,134,119,88.8
5429,Cortez High School,Male,102,84,82.4
5429,Cortez High School,Multiple Races,0,0,0
5429,Cortez High School,Special Education,31,20,64.5
5429,Cortez High School,White,26,0,0
5430,Moon Valley High School,All,305,279,91.5
5430,Moon Valley High School,American Indian or Alaska Native,0,0,0
5430,Moon Valley High School,Asian,13,0,0
5430,Moon Valley High School,Black/African American,19,0,0
5430,Moon Valley High School,English Learners,12,0,0
5430,Moon Valley High School,ELFEP14,20,0,0
5430,Moon Valley High School,Female,157,144,91.7
5430,Moon Valley High School,Foster Care,0,0,0
5430,Moon Valley High School,Hispanic or Latino,162,148,91.4
5430,Moon Valley High School,Homeless,0,0,0
5430,Moon Valley High School,Income Eligibility 1 & 2,119,106,89.1
5430,Moon Valley High School,Male,148,135,91.2
5430,Moon Valley High School,Multiple Races,13,0,0
5430,Moon Valley High School,Special Education,34,0,0
5430,Moon Valley High School,White,91,0,0
5431,Apollo High School,All,427,394,92.3
5431,Apollo High School,American Indian or Alaska Native,0,0,0
5431,Apollo High School,Asian,21,0,0
5431,Apollo High School,Black/African American,29,0,0
5431,Apollo High School,English Learners,18,0,0
5431,Apollo High School,ELFEP14,33,0,0
5431,Apollo High School,Female,219,206,94.1
5431,Apollo High School,Hispanic or Latino,296,272,91.9
5431,Apollo High School,Homeless,0,0,0
5431,Apollo High School,Income Eligibility 1 & 2,228,210,92.1
5431,Apollo High School,Male,208,188,90.4
5431,Apollo High School,Military,0,0,0
5431,Apollo High School,Multiple Races,0,0,0
5431,Apollo High School,Special Education,43,27,62.8
5431,Apollo High School,White,70,0,0
5432,Thunderbird High School,All,331,297,89.7
5432,Thunderbird High School,American Indian or Alaska Native,0,0,0
5432,Thunderbird High School,Asian,12,0,0
5432,Thunderbird High School,Black/African American,23,0,0
5432,Thunderbird High School,English Learners,13,0,0
5432,Thunderbird High School,ELFEP14,17,0,0
5432,Thunderbird High School,Female,163,0,0
5432,Thunderbird High School,Hispanic or Latino,144,121,84
5432,Thunderbird High School,Homeless,17,0,0
5432,Thunderbird High School,Income Eligibility 1 & 2,120,101,84.2
5432,Thunderbird High School,Male,168,0,83.9
5432,Thunderbird High School,Multiple Races,16,0,0
5432,Thunderbird High School,Special Education,36,0,0
5432,Thunderbird High School,White,127,0,0
5433,Greenway High School,All,297,257,86.5
5433,Greenway High School,American Indian or Alaska Native,0,0,0
5433,Greenway High School,Asian,11,0,0
5433,Greenway High School,Black/African American,21,0,0
5433,Greenway High School,English Learners,0,0,0
5433,Greenway High School,ELFEP14,0,0,0
5433,Greenway High School,Female,160,142,88.8
5433,Greenway High School,Foster Care,0,0,0
5433,Greenway High School,Hispanic or Latino,103,89,86.4
5433,Greenway High School,Homeless,0,0,0
5433,Greenway High School,Income Eligibility 1 & 2,102,86,84.3
5433,Greenway High School,Male,137,115,83.9
5433,Greenway High School,Multiple Races,0,0,0
5433,Greenway High School,Special Education,45,30,66.7
5433,Greenway High School,White,148,130,87.8
5434,Independence High School,All,408,371,90.9
5434,Independence High School,American Indian or Alaska Native,0,0,0
5434,Independence High School,Asian,13,0,0
5434,Independence High School,Black/African American,40,0,0
5434,Independence High School,English Learners,28,0,0
5434,Independence High School,ELFEP14,39,0,0
5434,Independence High School,Female,192,176,91.7
5434,Independence High School,Foster Care,0,0,0
5434,Independence High School,Hispanic or Latino,327,301,92
5434,Independence High School,Homeless,0,0,0
5434,Independence High School,Income Eligibility 1 & 2,257,237,92.2
5434,Independence High School,Male,216,195,90.3
5434,Independence High School,Multiple Races,0,0,0
5434,Independence High School,Special Education,57,45,78.9
5434,Independence High School,White,22,0,0
5435,Glendale Union High School District Online Learning Academy,All,201,34,16.9
5435,Glendale Union High School District Online Learning Academy,American Indian or Alaska Native,0,0,0
5435,Glendale Union High School District Online Learning Academy,Asian,0,0,0
5435,Glendale Union High School District Online Learning Academy,Black/African American,31,0,0
5435,Glendale Union High School District Online Learning Academy,English Learners,0,0,0
5435,Glendale Union High School District Online Learning Academy,ELFEP14,11,0,0
5435,Glendale Union High School District Online Learning Academy,Female,93,0,25.8
5435,Glendale Union High School District Online Learning Academy,Hispanic or Latino,118,19,16.1
5435,Glendale Union High School District Online Learning Academy,Homeless,0,0,0
5435,Glendale Union High School District Online Learning Academy,Income Eligibility 1 & 2,52,14,26.9
5435,Glendale Union High School District Online Learning Academy,Male,108,0,0
5435,Glendale Union High School District Online Learning Academy,Multiple Races,0,0,0
5435,Glendale Union High School District Online Learning Academy,Special Education,0,0,0
5435,Glendale Union High School District Online Learning Academy,White,34,0,0
794564,Glendale Union Online,All,253,52,20.6
794564,Glendale Union Online,American Indian or Alaska Native,0,0,0
794564,Glendale Union Online,Asian,0,0,0
794564,Glendale Union Online,Black/African American,21,0,0
794564,Glendale Union Online,English Learners,0,0,0
794564,Glendale Union Online,ELFEP14,0,0,0
794564,Glendale Union Online,Female,126,32,25.4
794564,Glendale Union Online,Foster Care,0,0,0
794564,Glendale Union Online,Hispanic or Latino,161,26,16.1
794564,Glendale Union Online,Homeless,0,0,0
794564,Glendale Union Online,Income Eligibility 1 & 2,43,0,0
794564,Glendale Union Online,Male,127,20,15.7
794564,Glendale Union Online,Multiple Races,0,0,0
794564,Glendale Union Online,Special Education,0,0,0
794564,Glendale Union Online,White,55,19,34.5
5436,Alhambra High School,All,549,386,70.3
5436,Alhambra High School,American Indian or Alaska Native,0,0,0
5436,Alhambra High School,Asian,17,0,0
5436,Alhambra High School,Black/African American,54,35,64.8
5436,Alhambra High School,English Learners,89,61,68.5
5436,Alhambra High School,ELFEP14,114,80,70.2
5436,Alhambra High School,Female,260,206,79.2
5436,Alhambra High School,Hispanic or Latino,441,317,71.9
5436,Alhambra High School,Homeless,0,0,0
5436,Alhambra High School,Income Eligibility 1 & 2,515,371,72
5436,Alhambra High School,Male,289,180,62.3
5436,Alhambra High School,Multiple Races,0,0,0
5436,Alhambra High School,Special Education,66,41,62.1
5436,Alhambra High School,White,29,0,0
5437,Trevor Browne High School,All,705,531,75.3
5437,Trevor Browne High School,American Indian or Alaska Native,0,0,0
5437,Trevor Browne High School,Asian,0,0,0
5437,Trevor Browne High School,Black/African American,37,23,62.2
5437,Trevor Browne High School,English Learners,76,58,76.3
5437,Trevor Browne High School,ELFEP14,92,74,80.4
5437,Trevor Browne High School,Female,315,258,81.9
5437,Trevor Browne High School,Foster Care,0,0,0
5437,Trevor Browne High School,Hispanic or Latino,640,485,75.8
5437,Trevor Browne High School,Homeless,0,0,0
5437,Trevor Browne High School,Income Eligibility 1 & 2,659,502,76.2
5437,Trevor Browne High School,Male,390,273,70
5437,Trevor Browne High School,Multiple Races,0,0,0
5437,Trevor Browne High School,Native Hawaiian or Pacific Islander,0,0,0
5437,Trevor Browne High School,Special Education,65,45,69.2
5437,Trevor Browne High School,White,16,0,0
5438,Camelback High School,All,431,348,80.7
5438,Camelback High School,American Indian or Alaska Native,20,0,0
5438,Camelback High School,Asian,0,0,0
5438,Camelback High School,Black/African American,38,0,0
5438,Camelback High School,English Learners,43,0,0
5438,Camelback High School,ELFEP14,59,47,79.7
5438,Camelback High School,Female,204,176,86.3
5438,Camelback High School,Foster Care,0,0,0
5438,Camelback High School,Hispanic or Latino,328,265,80.8
5438,Camelback High School,Homeless,0,0,0
5438,Camelback High School,Income Eligibility 1 & 2,407,337,82.8
5438,Camelback High School,Male,227,172,75.8
5438,Camelback High School,Multiple Races,0,0,0
5438,Camelback High School,Native Hawaiian or Pacific Islander,0,0,0
5438,Camelback High School,Special Education,48,30,62.5
5438,Camelback High School,White,30,0,0
5439,Central High School,All,389,267,68.6
5439,Central High School,American Indian or Alaska Native,21,0,0
5439,Central High School,Asian,16,0,0
5439,Central High School,Black/African American,73,49,67.1
5439,Central High School,English Learners,54,39,72.2
5439,Central High School,ELFEP14,70,53,75.7
5439,Central High School,Female,179,144,80.4
5439,Central High School,Foster Care,0,0,0
5439,Central High School,Hispanic or Latino,232,158,68.1
5439,Central High School,Homeless,0,0,0
5439,Central High School,Income Eligibility 1 & 2,352,252,71.6
5439,Central High School,Male,210,123,58.6
5439,Central High School,Multiple Races,0,0,0
5439,Central High School,Native Hawaiian or Pacific Islander,0,0,0
5439,Central High School,Special Education,38,17,44.7
5439,Central High School,White,33,0,0
5440,Carl Hayden High School,All,441,323,73.2
5440,Carl Hayden High School,American Indian or Alaska Native,0,0,0
5440,Carl Hayden High School,Black/African American,14,0,0
5440,Carl Hayden High School,English Learners,55,42,76.4
5440,Carl Hayden High School,ELFEP14,83,66,79.5
5440,Carl Hayden High School,Female,192,152,79.2
5440,Carl Hayden High School,Foster Care,0,0,0
5440,Carl Hayden High School,Hispanic or Latino,406,302,74.4
5440,Carl Hayden High School,Homeless,0,0,0
5440,Carl Hayden High School,Income Eligibility 1 & 2,410,312,76.1
5440,Carl Hayden High School,Male,249,171,68.7
5440,Carl Hayden High School,Multiple Races,0,0,0
5440,Carl Hayden High School,Special Education,46,35,76.1
5440,Carl Hayden High School,White,14,0,0
5441,Maryvale High School,All,580,442,76.2
5441,Maryvale High School,American Indian or Alaska Native,0,0,0
5441,Maryvale High School,Asian,0,0,0
5441,Maryvale High School,Black/African American,24,0,0
5441,Maryvale High School,English Learners,51,35,68.6
5441,Maryvale High School,ELFEP14,67,49,73.1
5441,Maryvale High School,Female,277,225,81.2
5441,Maryvale High School,Foster Care,0,0,0
5441,Maryvale High School,Hispanic or Latino,529,409,77.3
5441,Maryvale High School,Homeless,0,0,0
5441,Maryvale High School,Income Eligibility 1 & 2,539,425,78.8
5441,Maryvale High School,Male,303,217,71.6
5441,Maryvale High School,Multiple Races,0,0,0
5441,Maryvale High School,Native Hawaiian or Pacific Islander,0,0,0
5441,Maryvale High School,Special Education,50,31,62
5441,Maryvale High School,White,12,0,0
5442,North High School,All,476,362,76.1
5442,North High School,American Indian or Alaska Native,16,0,0
5442,North High School,Asian,0,0,0
5442,North High School,Black/African American,33,0,0
5442,North High School,English Learners,26,15,57.7
5442,North High School,ELFEP14,48,33,68.8
5442,North High School,Female,226,190,84.1
5442,North High School,Foster Care,0,0,0
5442,North High School,Hispanic or Latino,390,299,76.7
5442,North High School,Homeless,13,0,0
5442,North High School,Income Eligibility 1 & 2,436,343,78.7
5442,North High School,Male,250,172,68.8
5442,North High School,Multiple Races,11,0,0
5442,North High School,Native Hawaiian or Pacific Islander,0,0,0
5442,North High School,Special Education,41,26,63.4
5442,North High School,White,22,0,0
5443,South Mountain High School,All,461,356,77.2
5443,South Mountain High School,American Indian or Alaska Native,0,0,0
5443,South Mountain High School,Asian,0,0,0
5443,South Mountain High School,Black/African American,71,0,0
5443,South Mountain High School,English Learners,49,35,71.4
5443,South Mountain High School,ELFEP14,56,41,73.2
5443,South Mountain High School,Female,196,164,83.7
5443,South Mountain High School,Foster Care,0,0,0
5443,South Mountain High School,Hispanic or Latino,361,267,74
5443,South Mountain High School,Homeless,0,0,0
5443,South Mountain High School,Income Eligibility 1 & 2,432,338,78.2
5443,South Mountain High School,Male,265,192,72.5
5443,South Mountain High School,Multiple Races,11,0,0
5443,South Mountain High School,Native Hawaiian or Pacific Islander,0,0,0
5443,South Mountain High School,Special Education,73,49,67.1
5443,South Mountain High School,White,0,0,0
6248,Metro Tech High School,All,399,0,0
6248,Metro Tech High School,Asian,0,0,0
6248,Metro Tech High School,Black/African American,0,0,0
6248,Metro Tech High School,English Learners,11,0,0
6248,Metro Tech High School,ELFEP14,21,0,0
6248,Metro Tech High School,Female,216,0,0
6248,Metro Tech High School,Hispanic or Latino,386,0,0
6248,Metro Tech High School,Income Eligibility 1 & 2,394,0,0
6248,Metro Tech High School,Male,183,0,0
6248,Metro Tech High School,Special Education,18,0,0
6248,Metro Tech High School,White,0,0,0
6249,Bostrom Alternative Center,All,121,26,21.5
6249,Bostrom Alternative Center,American Indian or Alaska Native,0,0,0
6249,Bostrom Alternative Center,Asian,0,0,0
6249,Bostrom Alternative Center,Black/African American,14,0,0
6249,Bostrom Alternative Center,English Learners,0,0,0
6249,Bostrom Alternative Center,ELFEP14,12,0,0
6249,Bostrom Alternative Center,Female,42,13,31
6249,Bostrom Alternative Center,Foster Care,0,0,0
6249,Bostrom Alternative Center,Hispanic or Latino,101,22,21.8
6249,Bostrom Alternative Center,Homeless,0,0,0
6249,Bostrom Alternative Center,Income Eligibility 1 & 2,100,25,25
6249,Bostrom Alternative Center,Male,79,13,16.5
6249,Bostrom Alternative Center,Multiple Races,0,0,0
6249,Bostrom Alternative Center,Special Education,0,0,0
6249,Bostrom Alternative Center,White,0,0,0
78847,Cesar Chavez High School,All,602,516,85.7
78847,Cesar Chavez High School,American Indian or Alaska Native,25,0,0
78847,Cesar Chavez High School,Asian,13,0,0
78847,Cesar Chavez High School,Black/African American,68,0,0
78847,Cesar Chavez High School,English Learners,35,0,0
78847,Cesar Chavez High School,ELFEP14,48,0,0
78847,Cesar Chavez High School,Female,303,264,87.1
78847,Cesar Chavez High School,Foster Care,0,0,0
78847,Cesar Chavez High School,Hispanic or Latino,465,402,86.5
78847,Cesar Chavez High School,Homeless,0,0,0
78847,Cesar Chavez High School,Income Eligibility 1 & 2,561,483,86.1
78847,Cesar Chavez High School,Male,299,252,84.3
78847,Cesar Chavez High School,Military,0,0,0
78847,Cesar Chavez High School,Multiple Races,0,0,0
78847,Cesar Chavez High School,Native Hawaiian or Pacific Islander,0,0,0
78847,Cesar Chavez High School,Special Education,67,51,76.1
78847,Cesar Chavez High School,White,17,0,0
79617,Linda Abril Educational Academy,All,134,35,26.1
79617,Linda Abril Educational Academy,American Indian or Alaska Native,0,0,0
79617,Linda Abril Educational Academy,Black/African American,0,0,0
79617,Linda Abril Educational Academy,English Learners,0,0,0
79617,Linda Abril Educational Academy,ELFEP14,0,0,0
79617,Linda Abril Educational Academy,Female,55,22,40
79617,Linda Abril Educational Academy,Hispanic or Latino,117,31,26.5
79617,Linda Abril Educational Academy,Homeless,0,0,0
79617,Linda Abril Educational Academy,Income Eligibility 1 & 2,116,26,22.4
79617,Linda Abril Educational Academy,Male,79,13,16.5
79617,Linda Abril Educational Academy,Multiple Races,0,0,0
79617,Linda Abril Educational Academy,Special Education,0,0,0
79617,Linda Abril Educational Academy,White,0,0,0
88407,Phoenix Union Bioscience High School,All,69,0,0
88407,Phoenix Union Bioscience High School,Asian,0,0,0
88407,Phoenix Union Bioscience High School,Black/African American,0,0,0
88407,Phoenix Union Bioscience High School,Female,28,0,0
88407,Phoenix Union Bioscience High School,Hispanic or Latino,57,0,0
88407,Phoenix Union Bioscience High School,Homeless,0,0,0
88407,Phoenix Union Bioscience High School,Income Eligibility 1 & 2,69,0,0
88407,Phoenix Union Bioscience High School,Male,41,0,0
88407,Phoenix Union Bioscience High School,Multiple Races,0,0,0
88407,Phoenix Union Bioscience High School,White,0,0,0
89571,Betty Fairfax High School,All,454,374,82.4
89571,Betty Fairfax High School,American Indian or Alaska Native,33,17,51.5
89571,Betty Fairfax High School,Asian,0,0,0
89571,Betty Fairfax High School,Black/African American,93,73,78.5
89571,Betty Fairfax High School,English Learners,21,0,0
89571,Betty Fairfax High School,ELFEP14,26,0,0
89571,Betty Fairfax High School,Female,235,209,88.9
89571,Betty Fairfax High School,Foster Care,0,0,0
89571,Betty Fairfax High School,Hispanic or Latino,265,226,85.3
89571,Betty Fairfax High School,Homeless,0,0,0
89571,Betty Fairfax High School,Income Eligibility 1 & 2,437,364,83.3
89571,Betty Fairfax High School,Male,219,165,75.3
89571,Betty Fairfax High School,Military,0,0,0
89571,Betty Fairfax High School,Multiple Races,12,0,0
89571,Betty Fairfax High School,Native Hawaiian or Pacific Islander,0,0,0
89571,Betty Fairfax High School,Special Education,57,44,77.2
89571,Betty Fairfax High School,White,37,0,0
89778,Franklin Police and Fire High School,All,64,0,0
89778,Franklin Police and Fire High School,American Indian or Alaska Native,0,0,0
89778,Franklin Police and Fire High School,Asian,0,0,0
89778,Franklin Police and Fire High School,Black/African American,0,0,0
89778,Franklin Police and Fire High School,English Learners,0,0,0
89778,Franklin Police and Fire High School,ELFEP14,0,0,0
89778,Franklin Police and Fire High School,Female,26,0,0
89778,Franklin Police and Fire High School,Hispanic or Latino,61,0,0
89778,Franklin Police and Fire High School,Income Eligibility 1 & 2,63,0,0
89778,Franklin Police and Fire High School,Male,38,0,0
89778,Franklin Police and Fire High School,Special Education,0,0,0
128903,Phoenix Union-Wilson College Preparatory,All,39,0,0
128903,Phoenix Union-Wilson College Preparatory,American Indian or Alaska Native,0,0,0
128903,Phoenix Union-Wilson College Preparatory,Black/African American,0,0,0
128903,Phoenix Union-Wilson College Preparatory,English Learners,0,0,0
128903,Phoenix Union-Wilson College Preparatory,ELFEP14,0,0,0
128903,Phoenix Union-Wilson College Preparatory,Female,18,0,0
128903,Phoenix Union-Wilson College Preparatory,Hispanic or Latino,36,0,0
128903,Phoenix Union-Wilson College Preparatory,Homeless,0,0,0
128903,Phoenix Union-Wilson College Preparatory,Income Eligibility 1 & 2,38,0,0
128903,Phoenix Union-Wilson College Preparatory,Male,21,0,0
128903,Phoenix Union-Wilson College Preparatory,Multiple Races,0,0,0
128903,Phoenix Union-Wilson College Preparatory,Special Education,0,0,0
221992,Phoenix Coding Academy,All,84,0,0
221992,Phoenix Coding Academy,American Indian or Alaska Native,0,0,0
221992,Phoenix Coding Academy,Asian,0,0,0
221992,Phoenix Coding Academy,Black/African American,0,0,0
221992,Phoenix Coding Academy,ELFEP14,0,0,0
221992,Phoenix Coding Academy,Female,22,0,0
221992,Phoenix Coding Academy,Hispanic or Latino,48,0,0
221992,Phoenix Coding Academy,Homeless,0,0,0
221992,Phoenix Coding Academy,Income Eligibility 1 & 2,84,0,0
221992,Phoenix Coding Academy,Male,62,0,0
221992,Phoenix Coding Academy,Multiple Races,0,0,0
221992,Phoenix Coding Academy,Native Hawaiian or Pacific Islander,0,0,0
221992,Phoenix Coding Academy,Special Education,0,0,0
221992,Phoenix Coding Academy,White,20,0,0
875776,Phoenix Digital Academy,All,562,320,56.9
875776,Phoenix Digital Academy,American Indian or Alaska Native,14,0,0
875776,Phoenix Digital Academy,Asian,0,0,0
875776,Phoenix Digital Academy,Black/African American,63,39,61.9
875776,Phoenix Digital Academy,English Learners,39,25,64.1
875776,Phoenix Digital Academy,ELFEP14,61,39,63.9
875776,Phoenix Digital Academy,Female,295,173,58.6
875776,Phoenix Digital Academy,Foster Care,0,0,0
875776,Phoenix Digital Academy,Hispanic or Latino,438,245,55.9
875776,Phoenix Digital Academy,Homeless,0,0,0
875776,Phoenix Digital Academy,Income Eligibility 1 & 2,124,68,54.8
875776,Phoenix Digital Academy,Male,267,147,55.1
875776,Phoenix Digital Academy,Multiple Races,11,0,0
875776,Phoenix Digital Academy,Special Education,17,0,0
875776,Phoenix Digital Academy,White,32,0,0
1001158,PXU City,All,41,0,0
1001158,PXU City,Black/African American,0,0,0
1001158,PXU City,English Learners,0,0,0
1001158,PXU City,ELFEP14,0,0,0
1001158,PXU City,Female,28,0,0
1001158,PXU City,Hispanic or Latino,28,0,0
1001158,PXU City,Homeless,0,0,0
1001158,PXU City,Income Eligibility 1 & 2,24,0,0
1001158,PXU City,Male,13,0,0
1001158,PXU City,Multiple Races,0,0,0
1001158,PXU City,Special Education,0,0,0
1001158,PXU City,White,0,0,0
5444,Tempe High School,All,303,252,83.2
5444,Tempe High School,American Indian or Alaska Native,0,0,0
5444,Tempe High School,Asian,0,0,0
5444,Tempe High School,Black/African American,38,0,0
5444,Tempe High School,English Learners,21,0,0
5444,Tempe High School,ELFEP14,27,0,0
5444,Tempe High School,Female,162,146,90.1
5444,Tempe High School,Foster Care,0,0,0
5444,Tempe High School,Hispanic or Latino,222,193,86.9
5444,Tempe High School,Homeless,15,0,0
5444,Tempe High School,Income Eligibility 1 & 2,168,146,86.9
5444,Tempe High School,Male,141,106,75.2
5444,Tempe High School,Multiple Races,0,0,0
5444,Tempe High School,Native Hawaiian or Pacific Islander,0,0,0
5444,Tempe High School,Special Education,34,0,0
5444,Tempe High School,White,19,0,0
5445,Mcclintock High School,All,433,383,88.5
5445,Mcclintock High School,American Indian or Alaska Native,20,0,0
5445,Mcclintock High School,Asian,18,0,0
5445,Mcclintock High School,Black/African American,55,0,0
5445,Mcclintock High School,English Learners,20,0,0
5445,Mcclintock High School,ELFEP14,21,0,0
5445,Mcclintock High School,Female,234,216,92.3
5445,Mcclintock High School,Hispanic or Latino,190,161,84.7
5445,Mcclintock High School,Homeless,0,0,0
